"Buffalo Bancshares, Inc.","buffalo bancshares"
"Port William Bancshares, Inc.","port william bancshares"
"Albany Bancorp, Inc.","albany bancorp"
"Boyle Bancorp, Inc.","boyle bancorp"
"First Cecilian Bancorp, Inc.","first cecilian bancorp"
"Cnb Of Lebanon Bancorp, Inc.","cnb of lebanon bancorp"
"Lebanon Bancshares, Inc.","lebanon bancshares"
"Jackson Financial Corporation","jackson financial corporation"
"Citizens Union Bancorp Of Shelbyville, Inc.","citizens union bancorp of shelbyville"
"United Bancorp Of Princeton, Inc.","united bancorp of princeton"
"First Bancorp, Inc.","first bancorp"
"Fnb Financial Corp.","fnb financial corporation"
"Midsouth Bancorporation","midsouth"
"First Suncoast Trust Bancshares, Inc.","first suncoast trust bancshares"
"First Boaz Bancorporation","first boaz"
"First Brundidge Bancshares, Inc.","first brundidge bancshares"
"First Camden Bancshares, Inc.","first camden bancshares"
"First Dozier Bancshares, Inc.","first dozier bancshares"
"First Hartford Bancshares, Inc.","first hartford bancshares"
"Hnb Holding Company, Inc.","hnb holding company"
"Fns Bancshares, Inc.","fns bancshares"
"Snb Holdings, Inc.","snb holdings"
"First Bancshares Of Stevenson, Inc.","first bancshares of stevenson"
"First National Talladega Corporation","first national talladega corporation"
"Usal Bancorp, Inc.","usal bancorp"
"Farmers Bancorporation, Inc.","farmers"
"State Bancorp Northwest","state bancorp northwest"
"Baker Boyer Bancorp","baker boyer bancorp"
"First Bancorp. Of Durango, Inc.","first bancorp of durango"
"High Plains Banking Group, Inc.","high plains banking group"
"Fleming Community Agency, Inc.","fleming community agency"
"First Flo Corporation","first flo corporation"
"Coloeast Bankshares, Inc.","coloeast bankshares"
"First Liberty Capital Corporation Employee Stock Ownership Plan","first liberty capital corporation employee stock ownership plan"
"First Nebraska Bancs, Inc.","first nebraska bancs"
"First Bankshares Of Las Animas, Inc.","first bankshares of las animas"
"First Colorado Financial Corp.","first colorado financial corporation"
"First Pioneer Bank Corp.","first pioneer bank corporation"
"First Financial Bankshares, Inc.","first financial bankshares"
"Albany Bancshares, Inc.","albany bancshares"
